title,competation,time,country
1UP Esport vs Digital Chaos,Pro League Season 7 Europe,"Thursday, Apr 5 2018, 17:00 UTC",Europe
1UP Esport vs Millenium,Pro League Season 7 Europe,"Thursday, Apr 19 2018, 19:00 UTC",Europe
FaZe Clan vs Black Dragons,Pro League Season 7 Latin America,"Wednesday, Apr 18 2018, 22:00 UTC",Latin America
Team oNe Esports vs Team Liquid,Pro League Season 7 Latin America,"Thursday, Apr 19 2018, 0:00 UTC",Latin America
ENCE eSports vs Team Oplon,Pro League Season 7 Europe,"Monday, Apr 23 2018, 17:00 UTC",Europe
Evil Geniuses vs Rogue,Pro League Season 7 North America,"Tuesday, Apr 24 2018, 0:00 UTC",North America
Demise vs gBots eSports,Benelux League Season 1,"Wednesday, May 2 2018, 17:00 UTC",Europe
Big Guns vs DefuseKids,Benelux League Season 1,"Wednesday, May 2 2018, 19:00 UTC",Europe
Auxilium vs Remote Controlled,Benelux League Season 1,"Wednesday, May 2 2018, 19:00 UTC",Europe
NobleGG vs Motiv8 Gaming,Pro League Season 7 North America,"Saturday, May 5 2018, 0:00 UTC",North America
Initio Gaming vs Flash Point,Benelux League Season 1,"Wednesday, May 2 2018, 18:30 UTC",Europe
PENTA Sports vs Millenium,Pro League Season 7 Europe,"Thursday, Apr 26 2018, 17:00 UTC",Europe
Red Devils e-Sports vs RED Canids,Pro League Season 7 Latin America,"Saturday, May 5 2018, 22:00 UTC",Latin America
YeaH Gaming vs Very Nice Shot e-Sports,Pro League Season 7 Latin America,"Sunday, May 6 2018, 0:00 UTC",Latin America
i don't know vs Team Oplon,Pro League Season 7 Europe,"Sunday, May 6 2018, 17:00 UTC",Europe
Auxilium vs DefuseKids,Benelux League Season 1,"Wednesday, May 9 2018, 17:00 UTC",Europe
FaZe Clan vs Team Liquid,Pro League Season 7 Latin America,"Wednesday, Apr 25 2018, 22:00 UTC",Latin America
Counter Logic Gaming vs Beastcoast,Pro League Season 7 North America,"Saturday, May 5 2018, 2:00 UTC",North America
Demise vs Flash Point,Benelux League Season 1,"Wednesday, May 9 2018, 19:00 UTC",Europe
Big Guns vs Remote Controlled,Benelux League Season 1,"Wednesday, May 9 2018, 18:30 UTC",Europe
Initio Gaming vs gBots eSports,Benelux League Season 1,"Wednesday, May 9 2018, 19:00 UTC",Europe
Big Guns vs Trust Gaming,Benelux League Season 1,"Wednesday, May 16 2018, 17:00 UTC",Europe
ENCE eSports vs Supremacy,Pro League Season 7 Europe,"Sunday, May 6 2018, 18:45 UTC",Europe
Spacestation Gaming vs NobleGG,DreamHack Austin 2018,"Friday, Jun 1 2018, 0:00 UTC","LAN,"
Mousesports vs Team SiNister,DreamHack Austin 2018,"Friday, Jun 1 2018, 21:15 UTC","LAN,"
Rogue vs T3H,DreamHack Austin 2018,"Saturday, Jun 2 2018, 16:15 UTC","LAN,"
Obey Alliance vs Digital Chaos,DreamHack Austin 2018,"Friday, Jun 1 2018, 23:45 UTC","LAN,"
Team Vitality vs Beastcoast,DreamHack Austin 2018,"Saturday, Jun 2 2018, 16:15 UTC","LAN,"
Evil Geniuses vs Disrupt Academy,DreamHack Austin 2018,"Saturday, Jun 2 2018, 16:15 UTC","LAN,"
Team Vitality vs Team SiNister,DreamHack Austin 2018,"Saturday, Jun 2 2018, 17:00 UTC","LAN,"
Mock-it-Esports vs Motiv8 Gaming,DreamHack Austin 2018,"Friday, Jun 1 2018, 0:00 UTC","LAN,"
Disrupt Academy vs Motiv8 Gaming,DreamHack Austin 2018,"Saturday, Jun 2 2018, 17:00 UTC","LAN,"
Millenium vs 12Knights,DreamHack Austin 2018,"Saturday, Jun 2 2018, 16:15 UTC","LAN,"
Millenium vs Spacestation Gaming,DreamHack Austin 2018,"Saturday, Jun 2 2018, 17:00 UTC","LAN,"
NobleGG vs 12Knights,DreamHack Austin 2018,"Saturday, Jun 2 2018, 19:00 UTC","LAN,"
Digital Chaos vs T3H,DreamHack Austin 2018,"Saturday, Jun 2 2018, 19:00 UTC","LAN,"
Evil Geniuses vs Mock-it-Esports,DreamHack Austin 2018,"Saturday, Jun 2 2018, 19:00 UTC","LAN,"
Rogue vs Obey Alliance,DreamHack Austin 2018,"Saturday, Jun 2 2018, 17:00 UTC","LAN,"
Mousesports vs Beastcoast,DreamHack Austin 2018,"Saturday, Jun 2 2018, 19:00 UTC","LAN,"
Beastcoast vs Team SiNister,DreamHack Austin 2018,"Saturday, Jun 2 2018, 22:00 UTC","LAN,"
Obey Alliance vs Digital Chaos,DreamHack Austin 2018,"Saturday, Jun 2 2018, 22:00 UTC","LAN,"
Evil Geniuses vs Disrupt Academy,DreamHack Austin 2018,"Sunday, Jun 3 2018, 17:45 UTC","LAN,"
Mock-it-Esports vs Millenium,Coupe De France 2018,"Sunday, Jun 24 2018, 10:30 UTC","LAN,"
Millenium vs Digital Chaos,DreamHack Austin 2018,"Sunday, Jun 3 2018, 15:15 UTC","LAN,"
Team Vitality vs Evil Geniuses,DreamHack Austin 2018,"Sunday, Jun 3 2018, 15:15 UTC","LAN,"
Spacestation Gaming vs NobleGG,DreamHack Austin 2018,"Saturday, Jun 2 2018, 22:00 UTC","LAN,"
Evil Geniuses vs Motiv8 Gaming,DreamHack Austin 2018,"Saturday, Jun 2 2018, 22:00 UTC","LAN,"
Mock-it-Esports vs DeathroW,Coupe De France 2018,"Sunday, Jun 24 2018, 13:30 UTC","LAN,"
Team Vitality vs Mock-it-Esports,Coupe De France 2018,"Sunday, Jun 24 2018, 17:00 UTC","LAN,"
NobleGG vs Mousesports,Pro League Season 8 North America,"Tuesday, Jun 26 2018, 1:00 UTC",North America
Cloud9 vs Spacestation Gaming,Pro League Season 8 North America,"Tuesday, Jun 26 2018, 3:00 UTC",North America
Team Vitality vs DeathroW,Coupe De France 2018,"Sunday, Jun 24 2018, 10:30 UTC","LAN,"
Evil Geniuses vs Obey Alliance,Pro League Season 8 North America,"Tuesday, Jun 26 2018, 2:00 UTC",North America
Black Dragons vs Ninjas In Pyjamas,Pro League Season 8 Latin America,"Tuesday, Jun 26 2018, 22:00 UTC",Latin America
SK Gaming vs Rogue,Pro League Season 8 North America,"Tuesday, Jun 26 2018, 0:00 UTC",North America
Outlaw Gaming vs Athletico Esports,Pro League Season 8 Australia & New Zealand,"Wednesday, Jun 27 2018, 9:00 UTC",Australia & New Zealand
Element Mystic vs New Life,Pro League Season 8 South Korea,"Wednesday, Jun 27 2018, 11:00 UTC",South Korea
Outlaw Gaming vs Athletico Esports,Pro League Season 8 Australia & New Zealand,"Wednesday, Jun 27 2018, 9:45 UTC",Australia & New Zealand
Team Liquid vs BootKamp Gaming,Pro League Season 8 Latin America,"Wednesday, Jun 27 2018, 0:00 UTC",Latin America
Team oNe Esports vs Pain Gaming,Pro League Season 8 Latin America,"Wednesday, Jun 27 2018, 1:00 UTC",Latin America
Team DAD1 vs Ferox E-Sports,Pro League Season 8 South-East Asia,"Wednesday, Jun 27 2018, 11:00 UTC",South-East Asia
Team DAD1 vs Ferox E-Sports,Pro League Season 8 South-East Asia,"Wednesday, Jun 27 2018, 11:00 UTC",South-East Asia
Freshman Class 2018 vs Viewsonic Darksided,Pro League Season 8 Australia & New Zealand,"Wednesday, Jun 27 2018, 10:30 UTC",Australia & New Zealand
FaZe Clan vs Immortals,Pro League Season 8 Latin America,"Tuesday, Jun 26 2018, 23:00 UTC",Latin America
Freshman Class 2018 vs Viewsonic Darksided,Pro League Season 8 Australia & New Zealand,"Wednesday, Jun 27 2018, 10:30 UTC",Australia & New Zealand
ReadyUp Gaming vs Mad Dogs Gaming,Pro League Season 8 South Korea,"Wednesday, Jun 27 2018, 12:30 UTC",South Korea
Element Mystic vs New Life,Pro League Season 8 South Korea,"Wednesday, Jun 27 2018, 11:45 UTC",South Korea
Path Finder vs eiNs,Pro League Season 8 Japan,"Wednesday, Jun 27 2018, 12:00 UTC",Japan
Envy vs Aerowolf,Pro League Season 8 South-East Asia,"Wednesday, Jun 27 2018, 12:30 UTC",South-East Asia
Path Finder vs eiNs,Pro League Season 8 Japan,"Wednesday, Jun 27 2018, 13:00 UTC",Japan
Tyrant vs AsB,Pro League Season 8 South Korea,"Thursday, Jun 28 2018, 13:15 UTC",South Korea
Envy vs Aerowolf,Pro League Season 8 South-East Asia,"Wednesday, Jun 27 2018, 13:15 UTC",South-East Asia
CYCLOPS athlete gaming vs ReV,Pro League Season 8 Japan,"Thursday, Jun 28 2018, 15:00 UTC",Japan
CYCLOPS athlete gaming vs ReV,Pro League Season 8 Japan,"Thursday, Jun 28 2018, 14:00 UTC",Japan
KlickBait Tactics vs Impetus Gaming,Pro League Season 8 South-East Asia,"Thursday, Jun 28 2018, 12:30 UTC",South-East Asia
Rsk Ninja Gaming vs Sengoku,Pro League Season 8 Japan,"Thursday, Jun 28 2018, 13:00 UTC",Japan
Team Vitality vs Mock-it-Esports,Pro League Season 8 Europe,"Thursday, Jun 28 2018, 17:00 UTC",Europe
i don't know vs Chaos,Pro League Season 8 Europe,"Thursday, Jun 28 2018, 18:00 UTC",Europe
KlickBait Tactics vs Impetus Gaming,Pro League Season 8 South-East Asia,"Thursday, Jun 28 2018, 13:15 UTC",South-East Asia
OrgLess vs Millenium,Pro League Season 8 Europe,"Thursday, Jun 28 2018, 20:00 UTC",Europe
PENTA Sports vs Supremacy,Pro League Season 8 Europe,"Thursday, Jun 28 2018, 19:00 UTC",Europe
PENTA Sports vs OrgLess,Pro League Season 8 Europe,"Friday, Jun 29 2018, 19:00 UTC",Europe
Millenium vs Supremacy,Pro League Season 8 Europe,"Friday, Jun 29 2018, 18:00 UTC",Europe
Flash Point vs Trust Gaming,Benelux League Season 1,"Saturday, Jun 30 2018, 14:30 UTC",Europe
Chaos vs Team Vitality,Pro League Season 8 Europe,"Friday, Jun 29 2018, 20:00 UTC",Europe
Mock-it-Esports vs i don't know,Pro League Season 8 Europe,"Friday, Jun 29 2018, 17:00 UTC",Europe
NobleGG vs SK Gaming,Pro League Season 8 North America,"Tuesday, Jul 3 2018, 0:00 UTC",North America
Big Guns vs Demise,Benelux League Season 1,"Saturday, Jun 30 2018, 15:00 UTC",Europe
Spacestation Gaming vs Obey Alliance,Pro League Season 8 North America,"Tuesday, Jul 3 2018, 2:00 UTC",North America
Trust Gaming vs Demise,Benelux League Season 1,"Saturday, Jun 30 2018, 16:30 UTC",Europe
NobleGG vs Cloud9,Pro League Season 8 North America,"Wednesday, Jul 4 2018, 1:00 UTC",North America
Rogue vs Obey Alliance,Pro League Season 8 North America,"Wednesday, Jul 4 2018, 0:00 UTC",North America
CYCLOPS athlete gaming vs NORA-Rengo,Pro League Season 8 Japan,"Wednesday, Jul 4 2018, 13:30 UTC",Japan
Evil Geniuses vs Cloud9,Pro League Season 8 North America,"Tuesday, Jul 3 2018, 3:00 UTC",North America
Rogue vs Mousesports,Pro League Season 8 North America,"Tuesday, Jul 3 2018, 1:00 UTC",North America
CYCLOPS athlete gaming vs NORA-Rengo,Pro League Season 8 Japan,"Wednesday, Jul 4 2018, 14:15 UTC",Japan
Team oNe Esports vs BootKamp Gaming,Pro League Season 8 Latin America,"Wednesday, Jul 4 2018, 23:00 UTC",Latin America
i don't know vs SLAVGENT,Six Major Paris Europe Qualifiers,"Wednesday, Jul 4 2018, 16:00 UTC",Europe
Team Vitality vs i don't know,Six Major Paris Europe Qualifiers,"Wednesday, Jul 4 2018, 20:00 UTC",Europe
FaZe Clan vs Ninjas In Pyjamas,Pro League Season 8 Latin America,"Thursday, Jul 5 2018, 0:00 UTC",Latin America
NobleGG vs Obey Alliance,Six Major Paris North America Qualifiers,"Thursday, Jul 5 2018, 3:30 UTC",North America
Obey Alliance vs Spacestation Gaming,Six Major Paris North America Qualifiers,"Thursday, Jul 5 2018, 0:00 UTC",North America
Control eSports vs Freshman Class 2018,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 5 2018, 9:00 UTC",Australia & New Zealand
Control eSports vs Freshman Class 2018,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 5 2018, 9:45 UTC",Australia & New Zealand
Sound Of The Silencing vs Ferox E-Sports,Pro League Season 8 South-East Asia,"Thursday, Jul 5 2018, 11:00 UTC",South-East Asia
Team Liquid vs Pain Gaming,Pro League Season 8 Latin America,"Wednesday, Jul 4 2018, 22:00 UTC",Latin America
Mousesports vs Cloud9,Six Major Paris North America Qualifiers,"Thursday, Jul 5 2018, 3:30 UTC",North America
Viewsonic Darksided vs Fnatic,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 5 2018, 10:30 UTC",Australia & New Zealand
Black Dragons vs Immortals,Pro League Season 8 Latin America,"Thursday, Jul 5 2018, 1:00 UTC",Latin America
Viewsonic Darksided vs Fnatic,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 5 2018, 11:15 UTC",Australia & New Zealand
ReadyUp Gaming vs New Life,Pro League Season 8 South Korea,"Thursday, Jul 5 2018, 11:45 UTC",South Korea
Sound Of The Silencing vs Ferox E-Sports,Pro League Season 8 South-East Asia,"Thursday, Jul 5 2018, 11:45 UTC",South-East Asia
ReV vs eiNs,Pro League Season 8 Japan,"Thursday, Jul 5 2018, 12:00 UTC",Japan
ReV vs eiNs,Pro League Season 8 Japan,"Thursday, Jul 5 2018, 12:45 UTC",Japan
ReadyUp Gaming vs New Life,Pro League Season 8 South Korea,"Thursday, Jul 5 2018, 11:00 UTC",South Korea
Envy vs Impetus Gaming,Pro League Season 8 South-East Asia,"Thursday, Jul 5 2018, 12:30 UTC",South-East Asia
NobleGG vs Obey Alliance,Pro League Season 8 North America,"Tuesday, Jul 10 2018, 3:00 UTC",North America
Viewsonic Darksided vs Athletico Esports,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 11 2018, 9:00 UTC",Australia & New Zealand
Element Mystic vs Mad Dogs Gaming,Pro League Season 8 South Korea,"Thursday, Jul 5 2018, 12:30 UTC",South Korea
Rogue vs Cloud9,Pro League Season 8 North America,"Tuesday, Jul 10 2018, 1:00 UTC",North America
Control eSports vs TABOO,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 11 2018, 10:30 UTC",Australia & New Zealand
Envy vs KlickBait Tactics,Pro League Season 8 South-East Asia,"Wednesday, Jul 11 2018, 11:00 UTC",South-East Asia
Viewsonic Darksided vs Athletico Esports,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 11 2018, 9:45 UTC",Australia & New Zealand
JCL vs New Life,Pro League Season 8 South Korea,"Wednesday, Jul 11 2018, 11:00 UTC",South Korea
Evil Geniuses vs Mousesports,Pro League Season 8 North America,"Tuesday, Jul 10 2018, 2:00 UTC",North America
Control eSports vs TABOO,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 11 2018, 11:15 UTC",Australia & New Zealand
JCL vs New Life,Pro League Season 8 South Korea,"Wednesday, Jul 11 2018, 11:45 UTC",South Korea
Envy vs KlickBait Tactics,Pro League Season 8 South-East Asia,"Wednesday, Jul 11 2018, 11:45 UTC",South-East Asia
Team DAD1 vs Sound Of The Silencing,Pro League Season 8 South-East Asia,"Wednesday, Jul 11 2018, 12:30 UTC",South-East Asia
uR vs Element Mystic,Pro League Season 8 South Korea,"Wednesday, Jul 11 2018, 12:30 UTC",South Korea
NORA-Rengo vs ReV,Pro League Season 8 Japan,"Wednesday, Jul 11 2018, 12:00 UTC",Japan
Team DAD1 vs Sound Of The Silencing,Pro League Season 8 South-East Asia,"Wednesday, Jul 11 2018, 13:15 UTC",South-East Asia
NORA-Rengo vs ReV,Pro League Season 8 Japan,"Wednesday, Jul 11 2018, 12:45 UTC",Japan
CYCLOPS athlete gaming vs Rsk Ninja Gaming,Pro League Season 8 Japan,"Wednesday, Jul 11 2018, 13:30 UTC",Japan
uR vs Element Mystic,Pro League Season 8 South Korea,"Wednesday, Jul 11 2018, 13:15 UTC",South Korea
Fnatic vs Outlaw Gaming,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 12 2018, 10:00 UTC",Australia & New Zealand
Aerowolf vs Xavier Esports,Pro League Season 8 South-East Asia,"Thursday, Jul 12 2018, 11:00 UTC",South-East Asia
Fnatic vs Outlaw Gaming,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 12 2018, 9:00 UTC",Australia & New Zealand
Freshman Class 2018 vs DedSet,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 12 2018, 10:30 UTC",Australia & New Zealand
Team Vitality vs Chaos,DreamHack Valencia 2018,"Saturday, Jul 14 2018, 8:15 UTC","LAN,"
CYCLOPS athlete gaming vs Rsk Ninja Gaming,Pro League Season 8 Japan,"Wednesday, Jul 11 2018, 14:15 UTC",Japan
i don't know vs PENTA Sports,DreamHack Valencia 2018,"Saturday, Jul 14 2018, 11:30 UTC","LAN,"
Sengoku vs Element Mystic,Six Major Paris Asia-Pacific Qualifiers,"Saturday, Jul 14 2018, 9:00 UTC","LAN,"
Team Vitality vs ENCE eSports,DreamHack Valencia 2018,"Saturday, Jul 14 2018, 14:30 UTC","LAN,"
Aerowolf vs Sengoku,Six Major Paris Asia-Pacific Qualifiers,"Sunday, Jul 15 2018, 3:30 UTC","LAN,"
Aerowolf vs Athletico Esports,Six Major Paris Asia-Pacific Qualifiers,"Saturday, Jul 14 2018, 9:00 UTC","LAN,"
Element Mystic vs Aerowolf,Six Major Paris Asia-Pacific Qualifiers,"Sunday, Jul 15 2018, 5:30 UTC","LAN,"
Aerowolf vs Element Mystic,Six Major Paris Asia-Pacific Qualifiers,"Sunday, Jul 15 2018, 0:00 UTC","LAN,"
Athletico Esports vs Sengoku,Six Major Paris Asia-Pacific Qualifiers,"Sunday, Jul 15 2018, 3:00 UTC","LAN,"
Team Vitality vs i don't know,DreamHack Valencia 2018,"Saturday, Jul 14 2018, 18:00 UTC","LAN,"
SK Gaming vs Cloud9,Pro League Season 8 North America,"Tuesday, Jul 17 2018, 0:00 UTC",North America
NobleGG vs Evil Geniuses,Pro League Season 8 North America,"Tuesday, Jul 17 2018, 1:00 UTC",North America
Rogue vs Spacestation Gaming,Pro League Season 8 North America,"Tuesday, Jul 17 2018, 3:00 UTC",North America
FaZe Clan vs Pain Gaming,Pro League Season 8 Latin America,"Tuesday, Jul 17 2018, 22:00 UTC",Latin America
Mousesports vs Obey Alliance,Pro League Season 8 North America,"Tuesday, Jul 17 2018, 2:00 UTC",North America
Team oNe Esports vs Immortals,Pro League Season 8 Latin America,"Tuesday, Jul 17 2018, 23:00 UTC",Latin America
Team Liquid vs Ninjas In Pyjamas,Pro League Season 8 Latin America,"Wednesday, Jul 18 2018, 0:00 UTC",Latin America
TABOO vs Outlaw Gaming,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 18 2018, 9:00 UTC",Australia & New Zealand
Black Dragons vs BootKamp Gaming,Pro League Season 8 Latin America,"Tuesday, Jul 17 2018, 9:00 UTC",Latin America
Scrypt vs Ferox E-Sports,Pro League Season 8 South-East Asia,"Wednesday, Jul 18 2018, 11:00 UTC",South-East Asia
TABOO vs Outlaw Gaming,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 18 2018, 9:45 UTC",Australia & New Zealand
Sound Of The Silencing vs KlickBait Tactics,Pro League Season 8 South-East Asia,"Thursday, Jul 19 2018, 9:00 UTC",South-East Asia
Control eSports vs Viewsonic Darksided,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 19 2018, 9:45 UTC",Australia & New Zealand
Athletico Esports vs DedSet,Pro League Season 8 Australia & New Zealand,"Wednesday, Jul 18 2018, 10:30 UTC",Australia & New Zealand
Control eSports vs Viewsonic Darksided,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 19 2018, 9:00 UTC",Australia & New Zealand
Impetus Gaming vs Xavier Esports,Pro League Season 8 South-East Asia,"Thursday, Jul 19 2018, 10:30 UTC",South-East Asia
Sound Of The Silencing vs KlickBait Tactics,Pro League Season 8 South-East Asia,"Thursday, Jul 19 2018, 9:45 UTC",South-East Asia
Freshman Class 2018 vs Fnatic,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 19 2018, 10:30 UTC",Australia & New Zealand
Impetus Gaming vs Xavier Esports,Pro League Season 8 South-East Asia,"Thursday, Jul 19 2018, 11:15 UTC",South-East Asia
AsB vs JCL,Pro League Season 8 South Korea,"Thursday, Jul 19 2018, 12:00 UTC",South Korea
AsB vs JCL,Pro League Season 8 South Korea,"Thursday, Jul 19 2018, 12:45 UTC",South Korea
Freshman Class 2018 vs Fnatic,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 19 2018, 11:15 UTC",Australia & New Zealand
Rsk Ninja Gaming vs eiNs,Pro League Season 8 Japan,"Thursday, Jul 19 2018, 12:00 UTC",Japan
Rsk Ninja Gaming vs eiNs,Pro League Season 8 Japan,"Thursday, Jul 19 2018, 12:45 UTC",Japan
Path Finder vs ReV,Pro League Season 8 Japan,"Thursday, Jul 19 2018, 13:30 UTC",Japan
i don't know vs Supremacy,Pro League Season 8 Europe,"Thursday, Jul 19 2018, 17:00 UTC",Europe
Path Finder vs ReV,Pro League Season 8 Japan,"Thursday, Jul 19 2018, 14:15 UTC",Japan
PENTA Sports vs Chaos,Pro League Season 8 Europe,"Thursday, Jul 19 2018, 19:00 UTC",Europe
Mock-it-Esports vs OrgLess,Pro League Season 8 Europe,"Friday, Jul 20 2018, 17:00 UTC",Europe
Millenium vs Mock-it-Esports,Pro League Season 8 Europe,"Thursday, Jul 19 2018, 18:00 UTC",Europe
Team Vitality vs Millenium,Pro League Season 8 Europe,"Friday, Jul 20 2018, 18:00 UTC",Europe
Team Vitality vs OrgLess,Pro League Season 8 Europe,"Thursday, Jul 19 2018, 20:00 UTC",Europe
Chaos vs Supremacy,Pro League Season 8 Europe,"Friday, Jul 20 2018, 20:00 UTC",Europe
i don't know vs PENTA Sports,Pro League Season 8 Europe,"Friday, Jul 20 2018, 19:00 UTC",Europe
Disrupt Gaming vs Motiv8 Gaming,United States Nationals 2018,"Saturday, Jul 21 2018, 3:00 UTC",North America
NORA-Rengo vs Rsk Ninja Gaming,Pro League Season 8 Japan,"Thursday, Jul 26 2018, 12:00 UTC",Japan
Fnatic vs DedSet,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 26 2018, 12:00 UTC",Australia & New Zealand
Fnatic vs DedSet,Pro League Season 8 Australia & New Zealand,"Thursday, Jul 26 2018, 13:00 UTC",Australia & New Zealand
NobleGG vs Obey Alliance,United States Nationals 2018,"Saturday, Jul 21 2018, 1:00 UTC",North America
Team Vitality vs PENTA Sports,Pro League Season 8 Europe,"Thursday, Jul 26 2018, 20:00 UTC",Europe
Mock-it-Esports vs Supremacy,Pro League Season 8 Europe,"Thursday, Jul 26 2018, 18:00 UTC",Europe
i don't know vs Millenium,Pro League Season 8 Europe,"Thursday, Jul 26 2018, 17:00 UTC",Europe
Chaos vs OrgLess,Pro League Season 8 Europe,"Thursday, Jul 26 2018, 19:00 UTC",Europe
Supremacy vs OrgLess,Pro League Season 8 Europe,"Friday, Jul 27 2018, 18:00 UTC",Europe
Millenium vs PENTA Sports,Pro League Season 8 Europe,"Friday, Jul 27 2018, 20:00 UTC",Europe
Team Vitality vs i don't know,Pro League Season 8 Europe,"Friday, Jul 27 2018, 19:00 UTC",Europe
Chaos vs Mock-it-Esports,Pro League Season 8 Europe,"Friday, Jul 27 2018, 17:00 UTC",Europe
Team oNe Esports vs Team Liquid,Pro League Season 8 Latin America,"Monday, Jul 30 2018, 22:00 UTC",Latin America
Ninjas In Pyjamas vs Immortals,Pro League Season 8 Latin America,"Tuesday, Jul 31 2018, 0:00 UTC",Latin America
FaZe Clan vs Black Dragons,Pro League Season 8 Latin America,"Monday, Jul 30 2018, 23:00 UTC",Latin America
Mousesports vs Renascence,United States Nationals 2018,"Saturday, Jul 28 2018, 1:00 UTC",North America
NobleGG vs Mousesports,United States Nationals 2018,"Saturday, Aug 4 2018, 1:00 UTC",North America
Spacestation Gaming vs Deception,United States Nationals 2018,"Saturday, Jul 28 2018, 3:00 UTC",North America
Spacestation Gaming vs Disrupt Gaming,United States Nationals 2018,"Saturday, Aug 4 2018, 3:00 UTC",North America
Obey Alliance vs NORA-Rengo,Six Major Paris,"Monday, Aug 13 2018, 7:00 UTC","LAN,"
Team Liquid vs Team Vitality,Six Major Paris,"Monday, Aug 13 2018, 7:00 UTC","LAN,"
BootKamp Gaming vs Pain Gaming,Pro League Season 8 Latin America,"Tuesday, Jul 31 2018, 1:00 UTC",Latin America
Rogue vs Obey Alliance,Six Major Paris,"Friday, Aug 17 2018, 14:00 UTC","LAN,"
Team Vitality vs Team Secret,Six Major Paris,"Friday, Aug 17 2018, 17:00 UTC","LAN,"
G2 Esports vs Evil Geniuses,Six Major Paris,"Sunday, Aug 19 2018, 15:00 UTC","LAN,"
Control eSports vs DedSet,Pro League Season 8 Australia & New Zealand,"Wednesday, Sep 5 2018, 10:30 UTC",Australia & New Zealand
Evil Geniuses vs Rogue,Six Major Paris,"Saturday, Aug 18 2018, 17:00 UTC","LAN,"
Control eSports vs DedSet,Pro League Season 8 Australia & New Zealand,"Wednesday, Sep 5 2018, 10:30 UTC",Australia & New Zealand
G2 Esports vs Team Secret,Six Major Paris,"Saturday, Aug 18 2018, 13:30 UTC","LAN,"
Evil Geniuses vs Ninjas In Pyjamas,Six Major Paris,"Friday, Aug 17 2018, 19:30 UTC","LAN,"
NORA-Rengo vs Path Finder,Pro League Season 8 Japan,"Wednesday, Sep 5 2018, 12:00 UTC",Japan
Fnatic vs TABOO,Pro League Season 8 Australia & New Zealand,"Thursday, Sep 6 2018, 9:00 UTC",Australia & New Zealand
SK Gaming vs Spacestation Gaming,DreamHack Montreal 2018,"Friday, Sep 7 2018, 17:00 UTC","LAN,"
Mousesports vs Chaos,DreamHack Montreal 2018,"Friday, Sep 7 2018, 17:00 UTC","LAN,"
NobleGG vs BootKamp Gaming,DreamHack Montreal 2018,"Friday, Sep 7 2018, 17:00 UTC","LAN,"
Mock-it-Esports vs Cloud9,DreamHack Montreal 2018,"Friday, Sep 7 2018, 17:00 UTC","LAN,"
Fnatic vs TABOO,Pro League Season 8 Australia & New Zealand,"Thursday, Sep 6 2018, 9:00 UTC",Australia & New Zealand
Evil Geniuses vs Grizzlys Esports,DreamHack Montreal 2018,"Friday, Sep 7 2018, 23:55 UTC","LAN,"
Rogue vs Kore eSport,DreamHack Montreal 2018,"Friday, Sep 7 2018, 23:55 UTC","LAN,"
Millenium vs Cloud9,DreamHack Montreal 2018,"Sunday, Sep 9 2018, 14:00 UTC","LAN,"
NORA-Rengo vs Path Finder,Pro League Season 8 Japan,"Wednesday, Sep 5 2018, 12:00 UTC",Japan
Team oNe Esports vs Pain Gaming,Brasileirão 2018 Finals,"Sunday, Sep 9 2018, 17:00 UTC","LAN,"
Millenium vs N4N1,DreamHack Montreal 2018,"Friday, Sep 7 2018, 23:55 UTC","LAN,"
Rogue vs SK Gaming,DreamHack Montreal 2018,"Sunday, Sep 9 2018, 17:00 UTC","LAN,"
Pain Gaming vs Ninjas In Pyjamas,Brasileirão 2018 Finals,"Sunday, Sep 9 2018, 19:00 UTC","LAN,"
Team Secret vs Honor Esports,DreamHack Montreal 2018,"Friday, Sep 7 2018, 23:55 UTC","LAN,"
Rogue vs Cloud9,DreamHack Montreal 2018,"Sunday, Sep 9 2018, 20:00 UTC","LAN,"
Rogue vs Chaos,DreamHack Montreal 2018,"Saturday, Sep 8 2018, 14:00 UTC","LAN,"
Mousesports vs Cloud9,Pro League Season 8 North America,"Wednesday, Sep 12 2018, 0:00 UTC",North America
FaZe Clan vs Ninjas In Pyjamas,Brasileirão 2018 Finals,"Sunday, Sep 9 2018, 21:00 UTC","LAN,"
Evil Geniuses vs Rogue,Pro League Season 8 North America,"Wednesday, Sep 12 2018, 2:00 UTC",North America
